Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Year,bins
1,Saquon Barkley,27,PHI,RB,16,16,345,2005,13,82,52.5,72,5.8,125.3,21.6,2,2024,"(1708.0, 2027.0]"
2,Derrick Henry,30,BAL,RB,17,17,325,1921,16,94,58.8,87,5.9,113.0,19.1,3,2024,"(1708.0, 2027.0]"
3,Kyren Williams,24,LAR,RB,16,16,316,1299,14,85,50.9,30,4.1,81.2,19.8,5,2024,"(1070.0, 1389.0]"
4,Bijan Robinson,22,ATL,RB,17,17,304,1456,14,82,60.2,37,4.8,85.6,17.9,1,2024,"(1389.0, 1708.0]"
5,Jonathan Taylor,25,IND,RB,14,13,303,1431,11,71,45.9,70,4.7,102.2,21.6,4,2024,"(1389.0, 1708.0]"
6,Josh Jacobs,26,GNB,RB,17,17,301,1329,15,73,52.2,38,4.4,78.2,17.7,4,2024,"(1070.0, 1389.0]"
7,Najee Harris,26,PIT,RB,17,17,263,1043,6,50,43.7,36,4.0,61.4,15.5,0,2024,"(752.0, 1070.0]"
8,Tony Pollard,27,TEN,RB,16,16,260,1079,5,53,47.7,41,4.2,67.4,16.3,2,2024,"(1070.0, 1389.0]"
9,Aaron Jones,30,MIN,RB,17,17,255,1138,5,49,49.8,41,4.5,66.9,15.0,5,2024,"(1070.0, 1389.0]"
10,D'Andre Swift,25,CHI,RB,17,17,253,959,6,43,43.9,56,3.8,56.4,14.9,2,2024,"(752.0, 1070.0]"
11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,16,70,53.6,70,5.6,83.1,14.7,1,2024,"(1389.0, 1708.0]"
12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,10,62,54.8,38,4.8,79.7,16.7,4,2024,"(1070.0, 1389.0]"
13,Joe Mixon,28,HOU,RB,14,14,245,1016,11,52,42.4,59,4.1,72.6,17.5,0,2024,"(752.0, 1070.0]"
14,James Conner,29,ARI,RB,16,16,236,1094,8,67,51.7,53,4.6,68.4,14.8,4,2024,"(1070.0, 1389.0]"
15,Rico Dowdle,26,DAL,RB,16,15,235,1079,2,53,53.6,27,4.6,67.4,14.7,3,2024,"(1070.0, 1389.0]"
16,Chase Brown,24,CIN,RB,16,10,229,990,7,49,52.4,40,4.3,61.9,14.3,2,2024,"(752.0, 1070.0]"
17,Alvin Kamara,29,NOR,RB,14,14,228,950,6,52,51.3,24,4.2,67.9,16.3,1,2024,"(752.0, 1070.0]"
18,Breece Hall,23,NYJ,RB,16,16,209,876,5,40,46.4,42,4.2,54.8,13.1,6,2024,"(752.0, 1070.0]"
19,James Cook,25,BUF,RB,16,16,207,1009,16,48,53.1,65,4.9,63.1,12.9,1,2024,"(752.0, 1070.0]"
20,Bucky Irving,22,TAM,RB,17,3,207,1122,8,52,55.1,56,5.4,66.0,12.2,2,2024,"(1070.0, 1389.0]"
21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,7,40,50.2,33,3.9,53.4,13.8,7,2024,"(752.0, 1070.0]"
22,De'Von Achane,23,MIA,RB,17,16,203,907,6,37,49.3,61,4.5,53.4,11.9,1,2024,"(752.0, 1070.0]"
23,Kareem Hunt,29,KAN,RB,13,8,200,728,7,42,55.5,20,3.6,56.0,15.4,0,2024,"(433.0, 752.0]"
24,J.K. Dobbins,26,LAC,RB,13,11,195,905,9,47,42.6,61,4.6,69.6,15.0,0,2024,"(752.0, 1070.0]"
25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,5,39,44.3,45,4.4,49.4,11.3,5,2024,"(752.0, 1070.0]"
26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,8,47,48.7,40,4.3,57.1,13.4,2,2024,"(752.0, 1070.0]"
27,David Montgomery,27,DET,RB,14,14,185,775,12,50,55.1,21,4.2,55.4,13.2,2,2024,"(752.0, 1070.0]"
28,Tank Bigsby,23,JAX,RB,16,1,168,766,7,39,49.4,65,4.6,47.9,10.5,4,2024,"(752.0, 1070.0]"
29,Jordan Mason,25,SFO,RB,12,6,153,789,3,37,47.1,38,5.2,65.8,12.8,3,2024,"(752.0, 1070.0]"
30,Kenneth Walker III,24,SEA,RB,11,11,153,573,7,28,44.4,28,3.7,52.1,13.9,1,2024,"(433.0, 752.0]"
1,Derrick Henry,29,TEN,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,16.5,0,2023,"(1070.0, 1389.0]"
2,Christian McCaffrey,27,SFO,RB,16,16,272,1459,14,83,54.0,72,5.4,91.2,17.0,3,2023,"(1389.0, 1708.0]"
3,Rachaad White,24,TAM,RB,17,17,272,990,6,46,40.8,38,3.6,58.2,16.0,3,2023,"(752.0, 1070.0]"
4,Travis Etienne,24,JAX,RB,17,17,267,1008,11,53,43.1,62,3.8,59.3,15.7,0,2023,"(752.0, 1070.0]"
5,Joe Mixon,27,CIN,RB,17,17,257,1034,9,59,49.4,44,4.0,60.8,15.1,0,2023,"(752.0, 1070.0]"
6,Najee Harris,25,PIT,RB,17,17,255,1035,8,51,48.2,25,4.1,60.9,15.0,2,2023,"(752.0, 1070.0]"
7,Tony Pollard,26,DAL,RB,17,17,252,1005,6,56,50.0,31,4.0,59.1,14.8,3,2023,"(752.0, 1070.0]"
8,Saquon Barkley,26,NYG,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,17.6,2,2023,"(752.0, 1070.0]"
9,Chuba Hubbard,24,CAR,RB,17,12,238,902,5,59,47.5,22,3.8,53.1,14.0,1,2023,"(752.0, 1070.0]"
10,James Cook,24,BUF,RB,17,13,237,1122,2,53,55.7,42,4.7,66.0,13.9,4,2023,"(1070.0, 1389.0]"
11,Josh Jacobs,25,LVR,RB,13,13,233,805,6,34,45.9,63,3.5,61.9,17.9,3,2023,"(752.0, 1070.0]"
12,D'Andre Swift,24,PHI,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,14.3,3,2023,"(752.0, 1070.0]"
13,Kyren Williams,23,LAR,RB,12,11,228,1144,12,62,59.6,56,5.0,95.3,19.0,3,2023,"(1070.0, 1389.0]"
14,Breece Hall,22,NYJ,RB,17,16,223,994,5,40,39.5,83,4.5,58.5,13.1,2,2023,"(752.0, 1070.0]"
15,David Montgomery,26,DET,RB,14,14,219,1015,13,59,54.8,75,4.6,72.5,15.6,2,2023,"(752.0, 1070.0]"
16,Kenneth Walker III,23,SEA,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,14.6,1,2023,"(752.0, 1070.0]"
17,Javonte Williams,23,DEN,RB,16,13,217,774,3,41,40.6,21,3.6,48.4,13.6,1,2023,"(752.0, 1070.0]"
18,Devin Singletary,26,HOU,RB,17,10,216,898,4,41,47.7,24,4.2,52.8,12.7,1,2023,"(752.0, 1070.0]"
19,Bijan Robinson,21,ATL,RB,17,16,214,976,4,50,43.5,38,4.6,57.4,12.6,4,2023,"(752.0, 1070.0]"
