Player,Yds,Team,Year
Dalvin Cook,1557,MIN,2020
Derrick Henry,1540,TEN,2019
Jonathan Taylor,1431,IND,2024
Saquon Barkley,1307,NYG,2018
Todd Gurley,1305,LAR,2017
Le'Veon Bell,1268,PIT,2016
Chuba Hubbard,1195,CAR,2024
Jonathan Taylor,1169,IND,2020
Mark Ingram,1124,NOR,2017
Marlon Mack,1091,IND,2019
Carlos Hyde,1070,HOU,2019
Chris Ivory,1070,NYJ,2015
Antonio Gibson,1037,WAS,2021
Joe Mixon,1016,HOU,2024
Phillip Lindsay,1011,DEN,2019
James Cook,1009,BUF,2024
Carlos Hyde,988,SFO,2016
Ezekiel Elliott,983,DAL,2017
Frank Gore,967,IND,2015
Frank Gore,961,IND,2017
D'Andre Swift,959,CHI,2024
Isiah Pacheco,935,KAN,2023
Spencer Ware,921,KAN,2016
Austin Ekeler,911,LAC,2021
DeAngelo Williams,907,PIT,2015
Adrian Peterson,898,WAS,2019
Matt Forte,898,CHI,2015
Raheem Mostert,891,MIA,2022
Marshawn Lynch,891,OAK,2017
David Montgomery,889,CHI,2019
Alvin Kamara,883,NOR,2018
Josh Jacobs,872,LVR,2021
Ronnie Hillman,863,DEN,2015
Jonathan Taylor,861,IND,2022
Miles Sanders,818,PHI,2019
Kenyan Drake,817,2TM,2019
Chris Johnson,814,ARI,2015
AJ Dillon,803,GNB,2021
Brian Robinson Jr.,797,WAS,2022
James Conner,782,ARI,2022
AJ Dillon,770,GNB,2022
Tank Bigsby,766,JAX,2024
Orleans Darkwa,751,NYG,2017
Derrick Henry,744,TEN,2017
Giovani Bernard,730,CIN,2015
Isaiah Crowell,706,CLE,2015
Alexander Mattison,700,MIN,2023
Lamar Jackson,695,BAL,2018
Alvin Kamara,694,NOR,2023
Jonathan Stewart,680,CAR,2017
Devonta Freeman,656,ATL,2019
Frank Gore,653,NYJ,2020
Kenyan Drake,643,ARI,2019
Justin Forsett,641,BAL,2015
D'Andre Swift,617,DET,2021
Adrian Peterson,604,DET,2020
Kenneth Walker III,573,SEA,2024
LeSean McCoy,514,BUF,2018
Christine Michael,469,SEA,2016
Jay Ajayi,465,MIA,2017
